state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"KY, Pulaski",4,2.75,2.75,2.5,1.67,2.5,2.33,2.67,49.05,52.45,0.5,1.57,0.62,1.04,3.37,72.16675000000001,1,11,5.0,5,684322.9,1,6
"KY, Rowan",2,2.5,2.0,3.5,2.0,3.5,2.0,2.0,41.8,25.0,2.0,1.9,0.56,0.72,3.13,56.0,1,1,1.0,4,38073.0,1,5
"KY, Rockcastle",2,3.0,3.0,4.5,5.0,4.0,2.0,2.0,43.4,53.9,0.0,1.63,1.14,0.38,3.28,49.5,1,5,6.0,5,35680.45,1,6
"KY, Franklin",2,2.5,2.5,3.0,2.0,4.0,2.5,3.0,56.7,40.95,1.0,1.89,0.73,0.59,3.23,33.75,3,2,3.0,1,9954.75,0,1
"KY, Knox",1,1.0,2.0,1.0,1.0,1.0,3.0,3.0,70.3,81.0,1.0,2.86,0.46,0.56,3.86,60.0,2,1,6.0,2,20405.45,0,2
"KY, Harlan",2,4.0,4.0,3.0,3.5,2.5,2.5,2.5,56.65,43.75,0.0,2.21,0.75,0.47,3.43,11.667,0,1,1.0,0,0.0,0,0
"KY, Monroe",1,4.0,4.0,3.0,4.0,3.0,2.0,2.0,45.6,37.5,1.0,2.31,0.92,0.43,3.66,11.333,0,0,0.0,0,0.0,0,0
"KY, Mc Cracken",4,1.5,1.5,2.25,2.0,2.5,2.75,3.0,57.37,51.97,3.0,1.93,0.88,0.6,3.41,143.58325,1,12,12.0,6,414892.5,1,7
"KY, Grayson",2,2.5,2.5,3.0,3.5,3.5,2.0,2.0,62.2,52.15,2.0,2.22,0.64,0.49,3.35,32.0,5,3,0.0,0,0.0,0,0
"KY, Leslie",1,3.0,3.0,2.0,3.0,1.0,2.0,2.0,57.8,35.7,0.0,2.24,0.51,0.45,3.17,25.333,0,0,1.0,0,0.0,0,0
"KY, Marshall",3,3.0,2.33,3.67,3.33,3.67,3.67,3.67,52.47,19.63,0.67,2.24,0.75,0.81,3.77,39.111,3,2,3.0,4,91955.45,0,4
"KY, Letcher",1,2.0,2.0,3.0,3.0,2.0,2.0,2.0,50.0,50.0,1.0,1.89,0.47,0.46,2.84,58.333,0,1,2.0,0,0.0,0,0
"KY, Carroll",1,2.0,2.0,2.0,3.0,2.0,3.0,3.0,60.0,66.7,0.0,2.24,1.05,0.52,3.83,46.667,0,0,0.0,2,1630.01,0,2
"KY, Mason",1,1.0,1.0,4.0,4.0,4.0,1.0,1.0,63.0,72.7,1.0,2.33,0.77,0.27,3.35,80.0,2,1,0.0,1,13905.45,0,1
"KY, Campbell",6,3.67,3.17,4.17,4.0,4.0,3.5,3.83,57.76,47.2,0.2,2.03,0.81,1.01,4.1,74.42783333333334,3,5,15.0,8,665279.0800000001,0,8
"KY, Mc Lean",1,3.0,3.0,4.0,5.0,3.0,3.0,3.0,37.1,41.7,1.0,2.39,0.75,0.59,3.74,25.333,0,0,0.0,0,0.0,0,0
"KY, Mercer",2,4.5,4.0,4.5,4.0,3.5,2.5,2.5,37.9,46.45,2.0,2.07,1.17,0.53,3.75,14.332999999999998,0,0,3.0,2,1300.0,0,2
