state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"AL, Franklin",4,4.25,4.0,4.25,4.5,3.5,4.0,4.5,54.1,55.57,1.0,2.17,0.89,1.09,4.05,11.5,0,0,0.0,1,655.14,0,1
"AL, Talladega",3,4.0,3.67,2.67,2.0,2.33,3.67,3.33,56.3,42.2,1.0,2.66,1.0,0.74,4.36,13.778,0,0,0.0,1,650.0,0,1
"AL, Jackson",3,2.33,2.67,2.33,2.0,3.0,2.0,2.0,52.5,33.3,1.0,2.4,0.97,0.78,4.09,20.222333333333335,0,0,1.0,3,2932.71,0,3
"AL, Jefferson",34,2.15,2.09,3.12,3.15,3.07,2.65,2.59,58.28,55.07,1.45,2.17,1.02,0.57,3.72,34.666647058823536,9,39,16.0,37,343424.26000000007,1,38
"AL, Limestone",2,2.0,2.0,3.5,3.5,3.5,2.5,2.5,50.0,42.75,1.0,1.85,0.88,0.5,3.19,23.0,3,4,0.0,0,0.0,0,0
"AL, Elmore",4,3.5,3.25,3.75,4.25,3.25,3.0,2.33,56.8,58.13,4.67,2.58,1.06,0.48,4.11,13.5,6,2,0.0,0,0.0,0,0
"AL, Chilton",1,5.0,3.0,5.0,4.0,5.0,4.0,5.0,48.6,33.3,0.0,1.72,1.0,1.32,3.78,16.0,2,0,0.0,0,0.0,0,0
"AL, Colbert",3,4.33,4.67,2.67,3.0,2.67,4.33,4.67,61.67,41.83,0.33,2.08,0.83,1.03,3.86,5.555666666666667,0,1,0.0,1,3250.0,0,1
"AL, Lauderdale",5,4.0,3.6,4.0,3.2,4.33,3.4,3.6,50.85,40.33,1.5,2.11,0.92,0.71,3.69,15.0668,0,0,5.0,1,3250.0,0,1
"AL, Baldwin",7,2.14,2.0,3.0,2.71,3.43,2.86,3.0,59.04,56.9,1.0,2.04,1.04,0.72,3.76,90.85714285714286,3,4,3.0,11,140952.99,0,11
"AL, Tuscaloosa",6,3.33,2.5,3.67,3.5,3.83,3.5,3.33,49.5,48.6,2.0,2.62,0.95,0.68,4.24,22.0,0,6,1.0,8,20390.11,1,9
"AL, Escambia",2,4.5,4.5,3.5,2.5,4.0,4.0,3.5,44.55,33.65,0.0,2.8,1.29,0.68,4.72,7.6665,0,0,0.0,0,0.0,0,0
"AL, Montgomery",9,2.56,2.11,3.67,3.56,3.8,2.25,2.12,56.39,47.03,0.5,2.08,0.91,0.52,3.5,49.22233333333333,3,9,0.0,16,201997.71000000002,0,16
"AL, Sumter",1,2.0,2.0,4.0,3.0,4.0,2.0,3.0,44.7,41.7,0.0,1.93,0.54,0.54,3.0,25.333,0,0,0.0,0,0.0,0,0
"AL, Chambers",4,3.25,3.0,3.75,3.25,3.5,3.25,3.25,51.7,36.53,0.33,2.29,1.09,0.66,3.99,33.75,0,0,0.0,3,2282.8,0,3
"AL, Cullman",5,4.5,4.25,3.75,4.25,3.33,3.25,3.25,55.62,51.72,0.0,2.54,1.08,0.72,4.28,9.0,0,1,0.0,2,10097.75,0,2
"AL, Cleburne",1,5.0,5.0,5.0,4.0,5.0,4.0,4.0,51.3,41.7,1.0,2.8,1.19,0.9,4.82,5.333,2,2,2.0,0,0.0,0,0
"AL, Marshall",5,4.0,3.6,3.0,2.8,3.2,3.4,3.6,54.42,47.58,1.0,2.36,0.86,0.75,3.94,13.2002,1,0,1.0,2,3900.0,0,2
"AL, Autauga",1,2.0,1.0,3.0,2.0,4.0,4.0,3.0,65.4,78.3,5.0,3.03,0.97,0.61,4.6,41.333,7,4,2.0,0,0.0,0,0
"AL, Morgan",4,2.5,2.25,3.75,3.25,3.75,2.5,2.5,60.4,67.6,1.67,2.21,0.94,0.55,3.67,36.042,3,2,2.0,1,13276.25,0,1
"AL, Coffee",2,3.0,2.5,3.0,3.5,3.0,3.0,3.0,55.7,62.15,0.0,2.17,1.06,0.59,3.78,22.333,0,2,0.0,1,650.0,0,1
"AL, Dallas",3,2.0,1.67,2.67,2.33,3.0,2.33,2.33,52.8,58.35,0.0,2.27,0.75,0.62,3.6,32.44466666666667,3,2,1.0,11,171740.55,0,11
"AL, Conecuh",1,5.0,4.0,5.0,5.0,4.0,4.0,4.0,30.6,33.3,1.0,2.22,1.36,0.73,4.18,8.667,0,0,0.0,0,0.0,0,0
"AL, Mobile",17,3.41,3.24,2.94,3.0,3.27,3.18,3.12,55.08,48.02,1.71,2.48,0.99,0.75,4.18,18.25488235294118,4,10,0.0,26,129676.51000000001,1,27
"AL, Etowah",6,2.83,2.5,3.33,3.0,3.2,3.5,3.33,57.68,45.32,0.67,2.23,1.0,0.73,3.92,44.500166666666665,0,2,6.0,8,163787.76,1,9
"AL, Perry",2,4.5,4.0,5.0,5.0,,2.5,2.5,25.0,0.0,0.0,2.25,0.98,0.55,3.74,9.6665,0,0,0.0,3,4555.08,0,3
"AL, Madison",12,3.42,3.08,3.33,3.58,3.17,3.42,3.58,53.88,49.62,1.64,2.12,0.93,0.77,3.76,21.250083333333333,4,5,4.0,7,48893.36,0,7
"AL, Macon",1,4.0,3.0,5.0,5.0,4.0,3.0,3.0,46.8,42.9,0.0,2.07,0.88,0.6,3.49,16.667,0,0,0.0,2,1625.0,0,2
"AL, Walker",5,3.6,3.4,3.0,3.6,2.6,3.4,3.6,47.88,46.22,0.5,2.1,1.13,0.78,3.92,15.2,2,1,1.0,4,11700.0,0,4
"AL, Calhoun",5,3.2,2.8,3.8,3.6,3.8,3.2,3.2,48.0,36.92,0.4,2.46,0.82,0.67,3.93,20.5334,0,1,2.0,3,20286.5,0,3
"AL, Washington",1,5.0,5.0,5.0,5.0,,4.0,4.0,40.9,10.0,,2.72,1.05,0.96,4.63,0.667,0,0,0.0,1,657.8,0,1
"AL, Clay",2,4.0,3.5,4.5,4.5,4.0,3.0,3.0,46.55,26.15,3.0,2.12,0.84,0.66,3.57,14.332999999999998,0,0,1.0,2,5657.8,0,2
"AL, Randolph",2,2.5,1.5,4.5,4.5,5.0,4.0,4.5,33.9,33.95,1.0,2.17,0.72,1.21,3.97,44.6665,0,0,1.0,1,13905.45,1,2
"AL, Lawrence",1,4.0,4.0,3.0,2.0,4.0,4.0,4.0,43.1,26.3,0.0,2.27,0.77,0.96,3.88,12.0,0,0,0.0,0,0.0,0,0
"AL, Pickens",2,5.0,3.5,5.0,4.0,5.0,5.0,5.0,44.05,42.65,0.5,3.85,0.8,1.13,5.74,16.0,0,0,0.0,0,0.0,0,0
"AL, Winston",2,3.0,3.5,2.5,2.5,3.0,2.5,2.5,46.65,34.3,1.0,2.02,1.19,0.58,3.73,13.0,1,0,0.0,0,0.0,0,0
"AL, Shelby",3,4.5,4.5,4.5,3.5,4.5,4.0,3.5,57.7,36.75,1.0,2.52,1.03,0.6,4.12,48.94466666666667,3,3,0.0,5,194556.58,0,5
"AL, Marion",3,3.67,3.33,3.67,4.0,3.5,2.67,3.0,40.2,28.33,0.0,1.66,0.69,0.71,2.98,16.666666666666668,1,0,0.0,0,0.0,0,0
"AL, Geneva",2,4.5,3.5,5.0,5.0,4.5,3.5,3.5,49.6,31.55,0.0,2.27,0.74,0.74,3.7,13.3335,0,0,0.0,1,650.0,0,1
"AL, Houston",3,3.67,2.67,4.0,3.67,4.67,3.67,3.0,52.83,37.23,0.5,2.54,1.49,0.66,4.64,24.000333333333334,1,1,0.0,2,1300.0,0,2
"AL, Fayette",1,4.0,3.0,3.0,3.0,3.0,5.0,5.0,42.7,36.4,0.0,2.74,1.19,1.05,4.87,16.0,0,0,1.0,1,15000.0,0,1
"AL, De Kalb",3,4.67,4.0,3.33,3.33,2.67,3.67,3.67,42.1,33.27,0.0,2.09,0.98,0.83,3.79,13.555666666666667,0,0,1.0,2,11636.5,0,2
"AL, Blount",2,4.5,3.5,4.5,4.5,4.5,3.5,4.0,43.75,31.95,0.5,2.2,0.74,0.9,3.77,15.3335,0,1,0.0,0,0.0,0,0
"AL, Choctaw",1,5.0,5.0,4.0,5.0,4.0,3.0,3.0,47.1,37.5,0.0,2.21,0.9,0.64,3.7,5.333,0,0,0.0,0,0.0,0,0
"AL, Tallapoosa",4,4.0,3.5,3.0,2.75,3.0,4.0,4.0,42.52,36.5,1.0,2.77,0.89,0.86,4.45,15.16675,0,0,1.0,1,18705.0,0,1
"AL, Bullock",1,5.0,4.0,5.0,5.0,5.0,3.0,2.0,30.6,0.0,1.0,3.43,1.15,0.5,5.1,13.333,0,0,0.0,0,0.0,0,0
"AL, Marengo",2,5.0,4.5,2.5,2.0,3.0,4.5,4.5,38.9,33.3,0.0,3.08,1.13,1.01,5.12,6.333,0,0,0.0,0,0.0,0,0
"AL, Greene",1,1.0,1.0,,,,,,,,,,,,,40.667,0,0,0.0,7,11461.4,0,7
"AL, Russell",3,3.0,2.33,3.67,3.67,3.33,3.33,3.33,51.3,47.53,0.33,2.22,1.04,0.71,3.92,26.888666666666666,1,0,0.0,1,7345.0,0,1
"AL, Butler",2,4.0,3.5,3.0,3.0,3.0,4.0,3.0,36.5,33.2,1.5,2.79,1.26,0.6,4.63,15.3335,0,1,0.0,1,655.08,0,1
"AL, Hale",2,4.5,4.0,3.5,4.0,3.5,3.5,3.5,41.05,50.55,0.5,2.35,0.9,0.66,3.87,14.0,0,0,0.0,1,655.08,0,1
"AL, Clarke",2,4.5,4.0,3.5,3.0,3.5,3.5,3.0,50.15,45.9,0.0,2.33,1.39,0.62,4.29,11.0,0,1,0.0,1,650.0,0,1
"AL, St. Clair",4,2.0,1.5,3.75,3.5,4.0,2.25,2.25,75.25,77.78,14.0,2.08,0.7,0.46,3.24,116.91675000000001,3,8,6.0,12,711963.67,1,13
"AL, Lee",3,2.67,2.0,4.0,2.5,4.33,4.0,3.33,52.85,53.8,0.5,3.12,0.93,1.09,5.26,46.666333333333334,0,0,1.0,1,9750.0,0,1
"AL, Barbour",1,3.0,2.0,5.0,4.0,5.0,2.0,2.0,37.2,12.5,0.0,2.46,1.1,0.46,4.02,21.333,0,1,0.0,0,0.0,0,0
"AL, Cherokee",1,5.0,4.0,5.0,3.0,5.0,4.0,4.0,42.1,17.6,,2.97,1.26,0.76,4.92,13.333,0,0,0.0,0,0.0,0,0
"AL, Coosa",1,5.0,5.0,2.0,2.0,,4.0,3.0,42.1,16.7,0.0,2.75,1.14,0.62,4.49,4.0,0,0,0.0,0,0.0,0,0
"AL, Dale",2,3.0,3.0,3.0,3.5,2.5,2.5,2.5,42.2,34.5,1.0,2.55,1.1,0.49,4.14,22.0,0,0,0.0,0,0.0,0,0
"AL, Covington",3,3.67,3.33,3.33,3.67,3.0,4.0,4.0,46.33,34.43,2.67,2.79,1.01,0.9,4.64,18.0,0,0,0.0,0,0.0,0,0
"AL, Pike",1,3.0,2.0,2.0,2.0,2.0,4.0,3.0,27.9,15.4,0.0,2.82,1.02,0.65,4.46,26.667,0,0,0.0,0,0.0,0,0
"AL, Bibb",1,3.0,3.0,4.0,5.0,2.0,3.0,3.0,38.7,20.0,0.0,2.53,0.96,0.55,4.03,16.0,0,0,0.0,0,0.0,0,0
"AL, Lamar",1,2.0,1.0,2.0,2.0,2.0,4.0,4.0,36.2,20.0,0.0,2.52,0.77,0.85,4.09,40.667,0,0,1.0,3,60227.0,1,4
"AL, Monroe",2,4.5,4.0,3.5,3.0,3.5,4.0,4.0,38.05,36.9,1.0,2.37,1.47,0.8,4.57,10.6665,0,0,0.0,1,650.0,0,1
"AL, Crenshaw",1,4.0,4.0,2.0,4.0,1.0,2.0,1.0,44.9,41.7,5.0,2.68,1.02,0.29,4.0,12.667,0,0,0.0,0,0.0,0,0
"AL, Henry",1,4.0,3.0,2.0,3.0,2.0,4.0,4.0,44.8,30.8,0.0,4.13,1.72,0.89,6.71,18.667,0,0,0.0,0,0.0,0,0
"AL, Wilcox",1,5.0,5.0,5.0,4.0,5.0,3.0,3.0,,,,2.33,1.2,0.54,4.02,1.333,0,0,0.0,1,650.0,0,1
"AL, Lowndes",1,4.0,2.0,5.0,5.0,,4.0,4.0,44.1,33.3,,2.47,0.77,0.74,3.98,22.833,0,0,0.0,1,650.0,0,1
"AK, Ketchikan Gateway",1,2.0,1.0,3.0,3.0,,5.0,5.0,,,,3.97,0.0,5.1,9.22,135.333,6,1,1.0,2,6418.75,0,2
"AK, Wrangell",1,2.0,2.0,1.0,1.0,,5.0,5.0,71.4,70.0,0.0,7.44,0.95,5.92,13.12,140.0,4,0,2.0,1,5768.75,0,1
"AK, Anchorage",3,4.0,3.0,4.67,4.0,5.0,4.67,4.67,44.25,41.3,3.33,3.72,0.5,1.99,6.3,189.55533333333335,34,8,6.0,7,381632.75,0,7
"AK, Petersburg Borough",1,5.0,5.0,5.0,5.0,,5.0,5.0,62.1,50.0,,5.82,0.33,3.13,9.28,36.667,0,0,0.0,0,0.0,0,0
"AK, Fairbanks North Star",1,5.0,3.0,5.0,5.0,5.0,5.0,5.0,44.4,34.3,,3.96,0.91,2.43,7.03,80.667,0,0,1.0,0,0.0,0,0
"AK, Kenai Peninsula",3,4.33,2.67,4.33,4.33,4.0,5.0,5.0,44.05,38.0,0.0,4.63,0.6,2.47,7.54,81.44433333333333,18,3,4.0,2,24495.0,0,2
"AK, Nome",1,4.0,2.0,5.0,5.0,,5.0,5.0,78.2,60.0,,7.05,1.43,2.32,10.72,116.0,0,0,0.0,4,36282.7,0,4
"AK, Juneau",1,2.0,1.0,5.0,5.0,5.0,5.0,5.0,52.9,46.2,1.0,3.86,0.53,1.17,5.52,237.667,3,1,2.0,3,128495.25,0,3
"AK, Valdez Cordova",2,5.0,4.5,4.5,4.5,,5.0,5.0,51.4,46.2,,5.24,0.13,3.44,8.65,33.3335,0,0,1.0,5,39280.14,0,5
"AK, Kodiak Island Borough",1,5.0,4.0,3.0,3.0,,5.0,5.0,15.4,20.0,1.0,5.65,0.38,2.1,8.18,36.667,0,0,1.0,2,15655.08,0,2
"AK, Sitka Borough",1,5.0,3.0,5.0,5.0,,5.0,5.0,42.9,63.6,0.0,3.67,0.17,5.02,8.01,58.667,0,0,0.0,0,0.0,0,0
"AK, Northwest Arctic",1,5.0,4.0,3.0,3.0,,5.0,5.0,80.0,,0.0,5.64,1.88,1.5,8.94,53.333,1,0,2.0,0,0.0,0,0
"AK, Bethel",1,3.0,2.0,5.0,5.0,,,,,,,,,,,109.333,4,0,0.0,2,163970.0,0,2
"AK, Matanuska-Susitna",2,2.5,2.5,2.5,1.0,4.5,3.0,3.0,,,,3.08,0.99,1.17,5.3,95.2,10,7,4.0,21,74399.65,0,21
"AZ, Maricopa",79,3.43,2.82,4.37,4.43,4.26,3.08,2.99,55.01,55.09,0.96,2.32,1.16,0.75,4.2,48.90563636363636,126,120,122.0,106,1028759.05,8,114
"AZ, Pima",24,3.29,2.71,4.58,4.25,4.6,2.5,2.5,50.07,50.06,1.32,2.18,1.06,0.54,3.77,50.22225000000001,39,12,49.0,46,266707.79,0,46
"AZ, Cochise",4,4.0,2.75,4.75,5.0,4.0,3.25,3.75,47.92,42.18,0.5,1.89,0.8,0.87,3.49,40.33325,1,0,2.0,2,5985.14,0,2
"AZ, Coconino",4,3.5,2.0,4.75,4.67,4.75,4.5,4.75,57.22,56.25,0.75,2.22,0.5,1.36,4.13,46.6335,5,2,3.0,6,22780.0,0,6
"AZ, Yavapai",7,3.14,2.0,4.29,3.86,4.29,4.0,4.29,59.34,57.17,0.57,1.93,0.83,1.07,3.78,67.97614285714285,9,1,10.0,8,55820.5,0,8
"AZ, Yuma",5,3.0,2.5,3.75,4.5,3.0,3.0,3.0,45.05,62.9,2.25,2.17,0.84,0.6,3.58,45.83325,8,2,3.0,12,43988.36,0,12
"AZ, Mohave",7,3.14,3.0,3.57,3.33,3.5,2.33,2.17,56.14,48.29,0.17,1.88,1.18,0.56,3.71,46.14285714285713,6,3,5.0,9,29090.14,0,9
"AZ, Pinal",3,4.0,3.33,3.67,3.67,3.33,3.33,3.33,57.95,63.35,0.5,2.52,1.16,1.13,4.74,33.77766666666667,3,3,1.0,21,107535.2,0,21
"AZ, Gila",4,2.75,2.75,3.25,3.0,3.75,2.75,2.75,54.22,56.62,2.5,1.94,1.06,0.59,3.57,49.16675,9,4,9.0,6,28260.08,0,6
"AZ, Navajo",3,1.67,1.67,3.33,3.33,3.5,2.33,2.33,66.37,60.47,0.5,1.92,0.93,0.59,3.44,66.889,6,4,8.0,8,81127.64,0,8
"AZ, Graham",1,3.0,3.0,4.0,4.0,3.0,3.0,5.0,56.9,61.5,1.0,1.75,0.29,1.14,3.03,46.0,1,0,0.0,2,1625.0,0,2
"AZ, Apache",1,1.0,1.0,2.0,2.0,,3.0,4.0,,,,2.01,0.71,0.82,3.45,450.5,6,0,8.0,9,131808.23,3,12
"AR, Benton",11,3.09,2.64,4.09,3.91,4.2,2.36,2.09,69.03,61.04,1.2,2.15,1.17,0.44,3.73,83.93945454545455,2,29,59.0,19,128481.73000000001,2,21
"AR, Garland",9,2.89,2.89,3.0,3.33,2.62,3.11,2.11,62.77,64.93,0.44,2.51,1.37,0.45,4.31,71.12955555555556,9,31,21.0,18,337225.34,1,19
"AR, Washington",12,2.92,2.75,3.92,4.08,3.6,2.58,2.17,58.5,49.78,0.4,2.42,1.08,0.44,3.93,82.58333333333333,2,43,65.0,12,185347.75,1,13
"AR, Craighead",5,3.2,2.8,3.0,3.6,2.25,2.6,2.4,71.9,76.27,1.0,2.3,1.01,0.45,3.73,104.23319999999998,0,46,37.0,11,97694.38,1,12
"AR, Columbia",3,3.67,3.0,4.33,4.67,4.0,3.33,2.67,45.25,41.65,1.0,3.23,1.21,0.55,5.01,81.778,2,20,9.0,5,75321.79,1,6
"AR, Crawford",4,2.75,2.75,3.25,3.0,3.0,2.25,1.5,59.33,32.2,0.25,2.42,1.17,0.34,3.93,71.0,0,7,2.0,1,655.14,0,1
"AR, White",4,3.0,2.75,4.0,4.0,3.75,2.75,2.25,72.6,59.6,1.0,2.43,1.19,0.44,4.03,82.66675000000001,0,24,38.0,8,216619.1,1,9
"AR, Stone",1,2.0,1.0,5.0,5.0,4.0,3.0,3.0,57.1,72.2,1.0,2.04,0.84,0.71,3.56,108.0,0,4,13.0,4,32500.0,0,4
"AR, Conway",1,4.0,3.0,5.0,5.0,5.0,2.0,2.0,45.0,33.3,0.0,1.95,1.21,0.4,3.5,60.0,0,1,1.0,1,3250.0,0,1
"AR, Sharp",3,3.67,3.0,4.67,4.33,5.0,2.67,2.33,53.47,56.8,0.0,2.47,1.28,0.45,4.17,70.22233333333334,0,6,13.0,2,10400.0,0,2
"AR, Lawrence",2,1.5,1.0,3.0,3.5,1.0,3.5,3.0,53.6,33.3,0.0,2.94,1.22,0.62,4.77,120.917,1,3,6.0,4,25147.89,0,4
"AR, Van Buren",2,3.5,3.5,2.5,2.5,2.0,2.5,2.0,53.95,28.6,0.5,2.65,1.39,0.42,4.42,59.417,0,5,5.0,7,17150.65,0,7
"AR, Cross",2,2.5,2.0,3.5,4.0,4.0,3.5,3.0,55.8,66.7,0.0,2.38,1.42,0.63,4.36,91.417,2,10,10.0,5,71688.5,1,6
"AR, Cleburne",2,2.5,2.5,3.5,5.0,3.0,3.0,3.0,63.9,50.65,0.0,2.32,0.95,0.6,3.83,83.75,1,11,10.0,6,44922.25,2,8
"AR, Johnson",1,5.0,5.0,4.0,4.0,4.0,2.0,2.0,54.4,55.6,0.0,2.49,1.0,0.5,3.98,27.333,0,0,3.0,0,0.0,0,0
"AR, Greene",2,3.5,3.0,4.0,3.5,4.5,3.0,2.0,49.4,50.0,0.0,3.43,1.34,0.41,5.21,66.6665,1,8,6.0,8,49700.0,0,8
"AR, Chicot",2,2.5,3.0,2.0,4.0,1.5,3.0,3.0,44.9,38.75,0.5,2.45,0.81,0.62,3.83,73.75,0,24,11.0,5,17692.86,0,5
"AR, Ouachita",4,3.0,2.5,3.75,3.75,4.33,3.0,2.5,63.0,69.37,0.67,2.76,1.22,0.56,4.53,80.16675000000001,3,23,21.0,6,76729.89,2,8
"AR, Drew",2,4.0,3.5,4.0,4.5,3.0,3.0,2.0,49.45,33.3,0.0,2.73,1.3,0.42,4.45,51.6665,1,2,2.0,2,24586.25,0,2
"AR, Arkansas",3,3.0,2.33,4.33,4.33,5.0,3.0,2.33,39.1,,0.0,2.77,1.37,0.5,4.61,96.55566666666668,1,10,5.0,4,48713.14,0,4
"AR, Clay",3,4.33,4.67,2.33,2.67,2.0,3.0,2.67,65.37,50.0,0.0,2.45,1.09,0.58,4.1,28.222333333333335,0,4,5.0,0,0.0,0,0
"AR, Howard",3,4.33,4.0,5.0,5.0,4.0,2.0,1.67,39.3,,0.33,2.36,1.06,0.39,3.81,36.666666666666664,0,3,6.0,3,32787.619999999995,0,3
"AR, Union",5,4.2,3.6,3.8,3.8,3.5,3.4,2.8,43.8,46.67,0.4,2.64,1.08,0.57,4.26,60.1,1,15,7.0,5,23077.940000000002,0,5
"AR, Faulkner",6,3.0,2.5,4.0,4.0,3.67,2.83,2.67,59.28,61.0,0.33,2.37,1.11,0.54,3.98,98.69466666666666,3,26,36.0,7,70734.5,2,9
"AR, Ashley",2,2.5,2.5,2.5,3.0,2.5,2.5,2.5,60.0,60.0,0.5,2.34,1.25,0.54,4.11,77.75,0,8,3.0,3,39081.49,0,3
"AR, Boone",3,3.0,3.0,2.67,3.33,2.0,2.67,2.67,68.7,72.7,1.0,2.64,1.09,0.57,4.27,71.111,0,3,10.0,5,76402.05,0,5
"AR, Miller",3,2.33,1.67,3.0,4.33,2.33,3.67,2.67,63.23,66.67,0.0,2.91,1.31,0.53,4.72,107.77766666666666,1,14,21.0,6,56327.58,0,6
"AR, Crittenden",3,1.67,2.0,4.0,4.67,3.0,2.33,2.67,58.8,50.0,1.33,1.92,0.82,0.53,3.23,94.66666666666667,0,27,15.0,5,24387.52,0,5
"AR, Saline",6,3.33,3.0,3.33,3.83,3.0,2.5,2.0,63.52,64.54,1.0,2.43,1.16,0.42,4.01,109.02766666666668,1,23,22.0,10,87611.5,2,12
"AR, Bradley",1,3.0,3.0,3.0,4.0,3.0,3.0,2.0,52.5,100.0,1.0,2.54,1.27,0.48,4.27,72.667,0,4,0.0,1,9750.0,0,1
"AR, Pulaski",23,2.14,1.95,3.67,3.95,3.15,2.86,2.1,64.55,70.97,0.62,2.79,1.25,0.41,4.45,112.87678260869563,6,308,173.0,57,858348.1900000001,13,70
"AR, Independence",3,2.0,2.0,2.67,3.0,2.67,2.67,2.67,59.15,45.85,0.67,2.53,1.11,0.53,4.13,127.66666666666667,2,35,25.0,10,228599.25,1,11
"AR, Lonoke",7,3.14,3.14,3.43,3.14,3.29,2.29,2.14,59.68,44.72,1.0,2.31,1.06,0.44,3.8,68.905,1,19,18.0,14,64685.83,2,16
"AR, Clark",2,4.0,3.5,4.0,4.0,4.0,2.5,1.5,46.8,45.0,1.0,3.02,1.23,0.34,4.6,65.3335,2,5,3.0,4,30046.25,0,4
"AR, Baxter",4,2.5,2.5,3.75,3.75,4.0,2.75,2.5,66.58,68.22,1.0,2.25,1.18,0.5,3.89,81.8,0,26,36.0,8,67952.5,0,8
"AR, St. Francis",1,4.0,4.0,3.0,3.0,,4.0,3.0,28.3,20.0,,3.66,0.82,0.58,5.1,35.333,0,3,0.0,0,0.0,0,0
"AR, Phillips",1,4.0,3.0,4.0,4.0,,4.0,4.0,25.5,14.3,0.0,3.6,0.98,0.96,5.46,68.0,1,3,12.0,2,19010.45,0,2
"AR, Woodruff",1,4.0,4.0,2.0,1.0,3.0,3.0,3.0,44.9,30.0,0.0,2.58,0.98,0.63,4.16,53.333,0,4,0.0,1,650.0,0,1
"AR, Little River",2,2.5,2.5,4.0,4.5,3.5,3.0,2.0,54.4,60.0,1.0,2.76,1.26,0.4,4.43,126.417,2,7,1.0,7,34641.75,0,7
"AR, Prairie",2,2.5,2.0,1.5,1.5,3.0,2.5,2.5,62.7,62.5,0.0,2.44,0.4,0.92,3.7,98.5,0,3,4.0,3,16874.0,0,3
"AR, Lafayette",1,2.0,1.0,5.0,5.0,,3.0,2.0,55.7,66.7,1.0,2.52,1.57,0.45,4.55,135.833,0,8,3.0,2,34787.12,1,3
"AR, Carroll",2,2.0,3.5,2.0,2.0,3.0,1.0,1.0,76.3,66.7,1.0,1.07,0.57,0.83,2.34,55.0,1,2,4.0,2,32265.0,0,2
"AR, Perry",1,5.0,5.0,5.0,5.0,5.0,3.0,2.0,98.6,,0.0,2.76,1.1,0.37,4.24,16.0,0,0,0.0,1,650.0,0,1
"AR, Pope",4,5.0,4.0,5.0,4.5,5.0,3.5,2.75,58.38,61.67,0.75,3.08,1.24,0.52,4.84,47.83325,0,0,5.0,2,20650.0,0,2
"AR, Fulton",1,4.0,4.0,4.0,5.0,3.0,2.0,2.0,61.8,42.9,1.0,1.95,0.95,0.39,3.29,52.0,1,3,4.0,2,57895.0,0,2
"AR, Grant",1,3.0,3.0,4.0,5.0,3.0,2.0,2.0,62.3,50.0,0.0,2.25,1.14,0.46,3.83,59.333,0,1,1.0,2,19500.0,0,2
"AR, Montgomery",1,5.0,5.0,5.0,5.0,4.0,3.0,2.0,28.2,16.7,0.0,3.88,1.26,0.4,5.61,18.0,0,0,2.0,1,657.8,0,1
"AR, Sebastian",8,2.75,2.88,2.5,2.88,2.29,2.62,2.0,63.85,59.94,2.5,2.52,1.17,0.39,4.05,71.5625,4,6,16.0,10,93356.95999999999,2,12
"AR, Lincoln",2,3.5,3.5,2.0,1.5,3.5,3.0,2.0,50.0,,1.0,2.36,1.3,0.47,4.1,55.6665,0,9,9.0,2,13000.0,0,2
"AR, Hot Spring",3,1.67,2.0,4.0,4.67,3.5,1.67,1.33,58.3,,0.0,2.22,1.27,0.26,3.76,125.88866666666667,2,32,18.0,9,61203.02,2,11
"AR, Jefferson",5,1.8,2.2,2.0,3.0,1.25,2.4,1.8,62.13,68.53,0.67,2.71,1.22,0.46,4.38,97.66680000000001,0,43,33.0,15,169393.34000000003,3,18
"AR, Marion",2,2.0,2.0,3.5,3.5,3.5,2.0,2.0,71.3,79.3,0.5,2.1,1.35,0.33,3.75,87.9165,1,22,12.0,3,28167.64,1,4
"AR, Randolph",2,3.5,3.5,4.0,3.5,4.5,3.0,2.5,78.2,87.5,0.5,2.81,0.86,0.49,4.18,56.0,0,8,9.0,3,26000.0,0,3
"AR, Sevier",1,4.0,4.0,2.0,3.0,1.0,4.0,4.0,59.1,,2.0,3.76,1.2,0.76,5.71,51.333,1,3,3.0,7,30184.35,0,7
"AR, Yell",2,4.5,4.0,4.5,3.5,5.0,3.0,2.0,50.3,25.0,0.0,2.78,1.07,0.43,4.29,43.6665,0,0,0.0,1,650.0,0,1
"AR, Mississippi",4,3.25,3.25,2.5,2.75,2.5,2.75,2.5,70.35,76.4,1.0,2.33,0.99,0.55,3.85,62.00025,0,26,31.0,7,89067.55,0,7
"AR, Logan",2,4.0,4.0,4.0,4.0,4.5,3.5,3.0,34.9,15.55,1.0,2.87,1.19,0.6,4.64,44.6665,0,3,0.0,3,11375.0,0,3
"AR, Nevada",2,4.5,3.5,4.5,3.5,5.0,4.0,3.0,,,1.0,3.34,0.99,0.58,4.92,53.7335,1,3,5.0,2,20000.0,0,2
"AR, Izard",2,4.5,3.0,5.0,5.0,4.0,3.0,2.0,63.15,,0.0,2.79,1.17,0.45,4.41,65.3335,0,5,12.0,1,655.08,0,1
"AR, Jackson",2,1.5,1.5,2.5,2.5,2.0,2.0,1.0,55.3,,0.5,2.15,1.25,0.29,3.69,115.333,0,3,14.0,3,31071.05,1,4
