state_county,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree
"IN, Owen",20799,100.88,0.31,0.31,0.35,0.95,0.91,4.92,209031614.0,133067218.0,131293688.0,399201863.0,191554630.0,59785062.0,117883116.0
"IN, Parke",16937,97.69,2.31,0.19,0.31,1.27,0.58,3.53,104016214.0,75903674.0,67039695.0,196816070.0,112105664.0,51635154.0,58261586.0
"IN, Perry",19169,96.13,2.45,0.36,0.18,1.0,0.78,5.98,150875174.0,106928132.0,68345728.0,315052100.0,135662655.0,71799790.0,113505400.0
"IN, Pike",12389,101.25,0.31,0.2,0.2,0.97,0.82,5.56,42638726.0,32186250.0,25125883.0,79368270.0,36944370.0,21871912.0,26844981.0
"IN, Porter",170389,82.89,2.73,1.15,0.2,8.18,1.83,3.72,120156440002.0,61290323898.0,31726619228.0,173369947036.0,101932796318.0,47006377187.0,140644613131.0
"IN, Posey",25427,98.5,0.9,0.28,0.17,0.98,1.09,3.82,389470953.0,236695366.0,108294102.0,628106145.0,363997676.0,183421224.0,360053948.0
"IN, Pulaski",12353,103.8,0.7,0.22,0.31,2.63,1.11,5.38,44970232.0,31556974.0,21729792.0,86827508.0,40819624.0,15091784.0,24033997.0
"IN, Putnam",37576,93.49,3.95,0.73,0.24,1.56,1.1,4.09,1117421936.0,717273609.0,590621071.0,2247974806.0,1128717282.0,448154673.0,890096906.0
"IN, Randolph",24665,100.93,0.46,0.23,0.34,3.2,1.12,5.74,365990616.0,256607261.0,187497164.0,651556066.0,333382499.0,112972853.0,215177707.0
"IN, Ripley",28324,98.43,0.24,0.52,0.13,1.57,0.91,5.36,598558063.0,337666549.0,242520001.0,991820375.0,414923091.0,212916890.0,410109711.0
"IN, Rush",16581,101.56,0.78,0.34,0.19,1.15,0.82,5.19,112858576.0,71839172.0,57625276.0,211613354.0,92101486.0,31066991.0,63426304.0
"IN, Scott",23873,98.32,0.22,0.44,0.18,1.48,0.75,4.67,327077050.0,182602428.0,228309913.0,592090029.0,268831227.0,108683742.0,162598287.0
"IN, Shelby",44729,93.05,0.96,0.54,0.19,3.68,1.15,5.52,2184346082.0,1246625857.0,1133187298.0,3796096555.0,1639159957.0,709842521.0,1670370511.0
"IN, Spencer",20277,99.13,0.47,0.34,0.19,2.55,0.82,4.9,201425635.0,125156133.0,79229944.0,383896939.0,150113267.0,93702653.0,126718475.0
"IN, St. Joseph",271826,74.2,12.29,1.83,0.29,7.14,2.84,4.63,495494754033.0,267531257930.0,230431401639.0,617508279460.0,401071524114.0,165497419199.0,593996678717.0
"IN, Starke",22995,96.59,0.27,0.18,0.27,3.33,1.27,4.7,296428545.0,186021272.0,183588861.0,512325381.0,271153361.0,104537799.0,144301443.0
"IN, Steuben",34594,93.98,0.45,0.47,0.23,2.84,0.92,4.61,948898891.0,616443286.0,366443172.0,1640378292.0,840593725.0,392053456.0,900550316.0
"IN, Sullivan",20669,96.42,4.58,0.19,0.26,1.42,1.06,4.67,188697636.0,131024511.0,99453854.0,390296861.0,182887580.0,103555204.0,106801890.0
"IN, Switzerland",10751,95.97,0.29,0.17,0.15,1.37,0.77,4.83,31878113.0,18146720.0,20065344.0,57618587.0,24839003.0,8194950.0,13546475.0
"IN, Tippecanoe",195732,70.94,3.44,5.46,0.18,6.61,1.93,3.11,154998708682.0,71086090644.0,62745781795.0,190616460015.0,149688800949.0,56409140326.0,290408993329.0
"IN, Tipton",15148,101.37,0.18,0.42,0.13,2.28,1.03,5.7,80770651.0,59705993.0,37195763.0,141853295.0,54130015.0,28659865.0,85749950.0
"IN, Union",7054,103.2,0.47,0.27,0.27,1.16,1.12,6.08,8802333.99,5075424.0,4408609.0,15216254.0,6961240.01,2015257.0,6498498.0
"IN, Vanderburgh",181451,84.36,8.94,1.09,0.19,2.13,2.26,4.96,132626331855.0,86087599738.0,59260744386.0,194139109965.0,124829817867.0,57812068634.0,161375974462.0
"IN, Vermillion",15498,102.35,0.14,0.2,0.19,0.84,0.87,5.51,85939200.0,62833231.0,33626321.0,161382379.0,84498196.0,39799174.0,52937448.0
"IN, Vigo",107038,87.4,6.89,1.66,0.3,2.31,2.23,5.01,26207046911.0,16506292517.0,14275588485.0,39214330360.0,27749177630.0,10557748790.0,30836874986.0
"IN, Wabash",30996,101.2,0.5,0.43,0.68,2.25,1.18,5.39,675408729.0,538982005.0,333765238.0,1269153537.0,578949177.0,256232463.0,539750396.0
"IN, Warren",8265,100.68,0.12,0.44,0.16,0.85,0.71,4.51,13245324.0,9372179.0,4542609.0,23580706.0,11428263.0,5949808.0,10956992.99
"IN, Warrick",62998,89.04,1.24,1.52,0.16,1.5,1.26,3.8,6463105936.0,3332954549.0,1689496114.0,7814067806.0,5193900349.0,2729704600.0,7575149151.0
"IN, Washington",28036,98.23,0.22,0.31,0.16,1.08,0.86,4.25,555556890.0,298372289.0,329498417.0,949666232.0,429715622.0,199412498.0,295385333.0
"IN, Wayne",65884,93.08,5.08,0.79,0.21,2.74,2.77,5.73,6591789073.0,4701413721.0,3869301436.0,10671614266.0,6082625003.0,2766763003.0,5207973396.0
"IN, Wells",28296,94.02,0.31,0.36,0.25,1.99,0.86,4.73,565508576.0,355654688.0,175665529.0,910834941.0,476555007.0,290080405.0,412421840.0
"IN, White",24102,93.23,0.21,0.34,0.22,7.24,1.47,4.73,338668530.0,240379128.0,157309416.0,582533048.0,299805742.0,131400971.0,229051429.0
"IN, Whitley",33964,94.65,0.28,0.31,0.22,1.52,1.11,4.53,962986387.0,546899536.0,319534331.0,1535494779.0,780725034.0,470534539.0,811640085.0
"KS, Allen",12369,99.32,1.96,0.54,0.8,3.17,2.71,5.32,44551283.0,34606854.0,15314554.0,62558444.0,53761487.0,19123958.0,38462271.0
"KS, Anderson",7858,98.93,0.51,0.46,0.48,1.57,1.27,6.2,12318751.01,9780931.0,4353253.0,20395439.0,11781578.0,3223273.0,8768271.0
"KS, Atchison",16073,94.27,5.25,0.44,0.54,2.38,2.59,5.67,100391476.0,63810292.0,30148448.0,159344990.0,100985695.0,33222730.0,91530270.0
"KS, Barber",4427,104.09,0.45,0.45,0.54,2.69,1.51,5.81,1948056.99,1769737.99,768262.01,2927974.0,2516440.0,668300.0,1793245.0
"KS, Barton",25779,89.58,1.42,0.21,0.43,14.29,2.11,5.32,419866955.0,290211991.0,180227692.0,548126503.0,397404939.0,229006200.0,358395383.0
"KS, Bourbon",14534,96.0,2.81,0.47,0.69,2.13,2.44,6.05,78622400.0,53168424.0,26637043.0,96640926.0,84304758.0,32868496.0,66560778.0
"KS, Brown",9564,87.74,1.21,0.32,9.09,3.2,3.36,4.73,22199766.0,16025534.0,5945556.0,32682292.0,22648030.0,7665163.0,18540962.0
"KS, Butler",66911,89.55,1.58,0.68,0.88,3.89,2.18,4.58,8070387964.0,3786715635.0,2251076736.0,7745799358.0,7889065846.0,3152761343.0,8917451784.0
"KS, Chase",2648,98.07,1.28,0.3,0.45,3.78,1.89,8.04,409487.01,393360.01,152154.0,539927.0,576389.99,115002.98,473304.0
"KS, Chautauqua",3250,101.26,0.4,0.09,4.55,2.68,4.25,8.31,708760.0,838662.0,460524.98,1195675.02,930540.0,302088.0,545024.98
"KS, Cherokee",19939,96.69,0.58,0.32,4.29,2.13,4.28,6.52,197787901.0,126504780.0,80268034.0,259450056.0,218739603.0,78916369.0,155367878.0
"KS, Cheyenne",2657,95.71,0.08,0.72,0.23,5.34,0.72,11.48,399586.0,493458.0,120708.02,579598.01,449005.98,184954.01,542187.02
"KS, Clark",1994,98.65,0.0,0.85,0.55,8.17,3.31,7.47,199997.99,174156.02,41356.02,215491.98,244524.02,84286.01,207157.02
"KS, Clay",8002,102.27,0.42,0.32,0.4,2.02,1.31,6.65,12134072.99,10469257.0,3662595.0,18044190.0,10968661.0,4892022.99,13670857.0
"KS, Cloud",8786,102.83,0.56,0.23,0.27,3.22,1.56,5.59,15207160.0,13856313.0,4778266.0,21405859.0,15925064.0,9456196.01,16249267.99
"KS, Coffey",8179,99.96,0.57,0.42,0.7,2.15,1.61,5.58,13272145.01,9432349.99,3987016.99,17553524.0,14790740.0,4950340.0,13432699.0
"KS, Comanche",1700,104.88,0.35,0.29,0.12,4.29,1.41,7.65,112999.0,118201.0,30056.0,171377.0,155771.0,55488.0,78608.0
"KS, Cowley",34908,85.46,2.78,1.66,1.84,9.43,3.58,5.64,1039195102.0,670821800.0,397131560.0,1272429064.0,1111821894.0,546040361.0,926355690.0
"KS, Crawford",38818,89.76,1.95,1.21,0.85,4.54,2.64,4.39,1304318183.0,816554874.0,461996309.0,1711917664.0,1442947354.0,484749480.0,1747629836.0
"KS, Decatur",2827,101.49,0.6,0.25,0.46,1.06,0.99,9.83,423569.01,616173.01,135866.01,799984.01,608992.01,205382.0,509085.99
"KS, Dickinson",18466,99.17,0.75,0.32,0.44,4.16,2.4,6.15,156038439.0,113653060.0,53808631.0,208892378.0,166404697.0,56468474.0,144103678.0
"KS, Doniphan",7600,95.82,3.18,0.21,1.03,2.17,2.37,6.0,9807648.0,7104480.0,4245360.0,16138144.0,11072592.0,3165248.0,9276256.0
"KS, Douglas",122259,74.05,3.44,3.36,2.16,4.62,3.4,3.27,34849544057.0,16264117215.0,8467624107.0,33593973469.0,35688085528.0,14297056709.0,90698498126.0
"KS, Edwards",2798,87.42,0.18,0.43,0.39,19.09,1.14,7.11,519839.99,418832.99,320203.0,617685.99,675632.99,180051.0,396140.99
"KS, Elk",2530,106.48,0.0,0.47,1.3,3.12,2.61,9.09,345649.01,393667.98,186259.01,689373.99,366773.99,123540.0,252847.98
